SMILES,DrugBank,Name,CAS,Predict_RF_ECFP_reg,Predict_RF_MACCS_reg,Predict_GCN_reg,Predict_GAT_reg,Predict_MPNN_reg,Predict_AttentiveFP_reg,Avg. Prediction,DrugBank,CTD,Pubmed
Nc1nc(=O)c2c([nH]1)NCC(CO[P@](=O)(O)O[P@](=O)(O)O[P@](=O)(O)O[P@](=O)(O)OC[C@H]1O[C@@H](n3cnc4c(N)ncnc43)[C@H](O)[C@@H]1O)=N2,DB04158,"6-(adenosine tetraphosphate-methyl)-7,8-dihydropterin",,5.342276524,5.56006417,4.714201,5.571813,5.046278,5.540985,5.295936282,,,
Cn1c(=O)oc2ccc(-c3ccc(C[C@@H](C#N)NC(=O)[C@@H]4CNCCCO4)cc3)cc21,DB15638,Brensocatib,1802148-05-5,5.239388656,5.199325101,5.113542,5.227151,5.574655,5.420075,5.29568946,,,
CCN(C)C(=O)c1ccc(-c2ccc3c(n2)Oc2ccccc2[C@@H]3C(C)(C)C(=O)Nc2nncs2)cc1F,DB15023,BMS-791826,1008116-73-1,4.826743708,5.454575703,5.259085,5.33741,5.5180645,5.3776913,5.295595035,,,
COC[C@@H](C(=O)O[C@@H]1C/C=C/C=C/C(=O)O[C@H]([C@@H](C)[C@@H](O)[C@@H](C)CC[C@@H](OC(=O)[C@H](C)N(C)C)[C@H](C)[C@H](OC(C)=O)[C@H](C)/C=C/N(C)C=O)C/C=C/[C@H](OC)C[C@H](C)C/C=C(\C)[C@@H](OC)CC[C@@H](C)[C@@H](O)[C@@H]1C)N(C)C,DB04629,Aplyronine A,,4.672179122,4.931255503,4.851681,5.0409718,5.5941086,6.6830645,5.295543421,,,
C[C@H]1CN(C2COC2)CCN1c1ccc(Nc2cc(-c3ccnc(N4CCn5c(cc6c5CC(C)(C)C6)C4=O)c3CO)cn(C)c2=O)nc1,DB14785,Fenebrutinib,1434048-34-6,5.031795185,5.191715707,5.247578,5.2402654,5.1297164,5.9272327,5.294717232,,,
CC(C)[C@H](NC(=O)c1ccc(C(=O)NCC(=O)O)cc1)C(=O)N1CCC[C@H]1C(=O)N[C@H](C(=O)C(F)(F)F)C(C)C,DB03702,"N-{4-[(Carboxymethyl)carbamoyl]benzoyl}-L-valyl-N-[(3S)-1,1,1-trifluoro-4-methyl-2-oxo-3-pentanyl]-L-prolinamide",,5.043945433,5.069517078,5.218633,5.4448767,5.9764566,5.0135317,5.294493418,,,
C[C@H]1COc2c(C3(N)CC3)c(F)cc3c(=O)c(C(=O)O)cn1c23,DB11774,Pazufloxacin,127045-41-4,5.103859575,5.044239996,5.3157544,5.676772,5.3759656,5.2494736,5.294344195,,,
O=C(O)Cn1cc(Cc2nc3c(F)c(F)cc(F)c3s2)c2cccnc21,DB08449,"2-(3-((4,5,7-trifluorobenzo[d]thiazol-2-yl)methyl)-1H-pyrrolo[2,3-b]pyridin-1-yl)acetic acid",,5.542770235,5.003409067,5.3975186,5.266838,5.567532,4.9851875,5.2938759,,,
CC[C@]1(O)C[C@@H]2CN(CCc3c([nH]c4ccccc34)[C@@](C(=O)OC)(c3cc4c(cc3OC)N(C=O)[C@H]3[C@@](O)(C(=O)OC)[C@H](OC(C)=O)[C@]5(CC)C=CCN6CC[C@]43[C@@H]65)C2)C1,DB00541,Vincristine,57-22-7,5.492040263,5.571028747,5.3366575,5.159453,5.10454,5.0990953,5.293802468,,,
NS(=O)(=O)c1ccc(Nc2cc(NC3CCCCC3)nc3ncnn23)cc1,DB07686,"4-{[5-(CYCLOHEXYLAMINO)[1,2,4]TRIAZOLO[1,5-A]PYRIMIDIN-7-YL]AMINO}BENZENESULFONAMIDE",,5.121570221,4.566366754,6.2922606,5.4541616,5.5586176,4.769212,5.293698129,,,
C[C@@H](C(=O)N1CCOCC1)N1CC[C@H](NS(=O)(=O)c2cc3cc(Cl)ccc3s2)C1=O,DB07843,5-CHLORO-N-{(3S)-1-[(1S)-1-METHYL-2-MORPHOLIN-4-YL-2-OXOETHYL]-2-OXOPYRROLIDIN-3-YL}-1-BENZOTHIOPHENE-2-SULFONAMIDE,,5.250425144,5.219044099,5.222599,5.105487,5.5047874,5.45825,5.293432107,,,
CC(C)C[C@H](NC(=O)[C@H](Cc1ccccc1)NC(=O)[C@H](CCC(=O)O)NC(=O)[C@@H](N)CCCCN)C(=O)N[C@@H](Cc1cnc[nH]1)C(=O)N1CCC[C@H]1C(=O)N[C@@H](CO)C(=O)N[C@@H](CCCCN)C(=O)N[C@H](C(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H](CC(C)C)C(=O)N1CCC[C@H]1C(=O)N[C@@H](CCCNC(=N)N)C(=O)O)C(C)C,DB15366,SOR-C13,1187852-48-7,5.274204941,5.255999848,5.1791463,5.3497834,5.549717,5.1512966,5.293358015,,,
COc1ccc2nc3cc(Cl)ccc3c(Nc3cc(CN4CCCC4)c(O)c(CN4CCCC4)c3)c2n1,DB12975,Pyronaridine,74847-35-1,4.814590906,5.538338928,4.8290305,5.3791018,5.686285,5.5071745,5.292420272,,,
COc1cc(C(=O)N[C@@H](Cc2ccccc2)[C@@H](O)CN(CC[C@@H]2CCC3OCOC3C2)C(=O)CCN2C(=O)c3ccccc3C2=O)cc(OC)c1OCc1ccccc1,DB03063,"N-[(2S,3S)-4-[2-[(5S)-3a,4,5,6,7,7a-Hexahydro-1,3-benzodioxol-5-yl]ethyl-[3-(1,3-dioxoisoindol-2-yl)propanoyl]amino]-3-hydroxy-1-phenylbutan-2-yl]-3,5-dimethoxy-4-phenylmethoxybenzamide",,5.565959193,5.447302286,4.831574,5.1107874,5.479235,5.3189516,5.29230158,,,
CC(C)(CO[P@](=O)(O)O[P@](=O)(O)OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)(O)O)[C@@H](O)C(=O)NCCC(=O)NCCSCC(=O)NCCc1c[nH]c2ccc(Br)cc12,DB03341,CoA-S-acetyl 5-bromotryptamine,,4.513393778,5.583850271,5.0383997,5.5608006,5.2528467,5.803711,5.292167008,,,
CCC(=O)[C@@H](C)c1cc[n+]([C@@H]2O[C@H](COP(=O)(O)OP(=O)([O-])OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](O)[C@@H]3O)[C@@H](O)[C@H]2O)cc1C(N)=O,DB04421,Nicotinamide adenine dinucleotide 3-pentanone adduct,,5.218502062,5.377976975,5.0079494,5.4040365,5.155973,5.587199,5.29193949,,,
CC(C)[C@@H](C(=O)N[C@@H](Cc1ccc(OCCF)cc1)C(=O)O)n1cc(COc2ccc3nc(S(N)(=O)=O)sc3c2)nn1,DB15319,VM4-037,1071470-72-8,4.783483269,5.103720449,5.559368,5.207057,5.3432803,5.753541,5.29174167,,,
Cc1ccc([N+](=O)[O-])cc1S(=O)(=O)N(C)/N=C/c1cnc2ccc(Br)cn12,DB17047,PIK-75,945619-31-8,5.165059257,5.57269296,5.197444,5.0998826,5.800429,4.914564,5.291678636,,,
COCCOc1cnc2ccn([C@H](C)c3nnc4c(F)cc(-c5cnn(C)c5)cn34)c(=O)c2c1,DB15639,AMG-337,1173699-31-4,5.620808662,5.117950755,5.463926,5.556708,5.2407947,4.748207,5.291399186,,,
CSCC[C@H](NC(=O)[C@H](CO)NC(=O)[C@H](Cc1ccc(O)cc1)NC(=O)[C@@H](N)CO)C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](Cc1cnc[nH]1)C(=O)N[C@@H](Cc1ccccc1)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)NCC(=O)N[C@@H](CCCCN)C(=O)N1CCC[C@H]1C(=O)N[C@H](C(=O)O)C(C)C,DB15687,Tridecactide,22006-64-0,4.85798727,5.405723451,5.4216924,5.355747,5.5009594,5.206234,5.291390587,,,
CCOc1cc2c(c(F)c1OCC)C(=N)N(CC(=O)c1cc(N3CCOCC3)c(OC)c(C(C)(C)C)c1)C2,DB12046,Atopaxar,751475-53-3,5.013378334,5.155399674,5.172279,5.424272,5.6535,5.329318,5.291357835,,,
Cc1c(CCOP(=O)([O-])[O-])sc[n+]1Cc1cnc(C(F)(F)F)nc1N,DB02254,Trifluoro-thiamin phosphate,,4.92901296,5.109691481,4.999208,5.3816366,5.3273897,6.0002346,5.291195557,,,
CCNC(=O)[C@H]1O[C@@H](n2cnc3c(NCC(c4ccccc4)c4ccccc4)nc(C(=O)NCCNC(=O)NC4CCN(c5ccccn5)CC4)nc32)[C@H](O)[C@@H]1O,DB12691,UK-432097,380221-63-6,5.510090953,5.641696272,4.753963,5.5018034,5.315682,5.0215793,5.290802487,,,
CC[C@H](C)[C@H](NC(=O)[C@H](CO)NC(=O)[C@H](CC(N)=O)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](Cc1ccc(O)cc1)NC(=O)[C@H](CCCCN)NC(=O)[C@H](CCCCN)NC(=O)[C@@H](NC(=O)[C@H](C)NC(=O)[C@H](CCSC)NC(=O)[C@H](CCC(N)=O)NC(=O)[C@H](CCCCN)NC(=O)[C@H](C)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@@H](NC(=O)[C@H](Cc1ccc(O)cc1)NC(=O)[C@H](CC(N)=O)NC(=O)[C@H](CC(=O)O)NC(=O)[C@@H](NC(=O)[C@H](Cc1ccccc1)NC(=O)[C@@H](NC(=O)[C@H](C)NC(=O)[C@H](CC(=O)O)NC(=O)[C@H](CO)NC(=O)[C@@H](N)Cc1cnc[nH]1)C(C)C)[C@@H](C)O)[C@H](O)CC)C(C)C)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CC(N)=O)C(=O)O,DB06260,Aviptadil,40077-57-4,4.864654858,5.440612218,5.171187,5.5730686,5.509276,5.1857347,5.290755563,,,
CNc1ccccc1C(=O)O[C@H]1C[C@H](n2cnc3c(N)ncnc32)O[C@@H]1COP(=O)(O)OP(=O)(O)O,DB03126,Mant-Adp,,5.810350736,5.369291469,4.843638,5.254287,5.177822,5.288991,5.290730034,,,
CNC(=O)c1ccccc1Nc1nc(Nc2ccc3c(c2OC)CCC[C@H](N2CCN(CCO)CC2)C3)ncc1Cl,DB13060,CEP-37440,1391712-60-9,5.37654355,5.062301242,4.909852,5.8580523,4.8578153,5.676795,5.290226565,,,
Cc1nc2c(C)cccn2c(=O)c1CCN1CCC(c2noc3cc(F)ccc23)CC1,DB06229,Ocaperidone,129029-23-8,5.272016944,5.139087,4.9954567,5.9087076,5.216245,5.200611,5.288687374,,,
CCC(CC)COC(=O)[C@@H]1C[C@H]2C[C@@H](Oc3cccc(Cl)c3-c3nnn[nH]3)CC[C@H]2CN1,DB12049,Dasolampanel etibutil,503291-52-9,4.856047588,4.546665795,5.404283,5.9076734,5.988938,5.0279827,5.288598414,,,
COC(=O)N[C@@H](Cc1ccccc1)C(=O)N[C@@H](Cc1ccc(NS(=O)(=O)O)cc1)c1csc(-c2cccs2)n1,DB16353,Razuprotafib,1008510-37-9,4.826796258,4.601678536,6.3004627,5.6371336,5.439652,4.925783,5.288584349,,,
C[C@@H](O)[C@H]1C(=O)N2C(C(=O)O)=C(S[C@@H]3CN[C@H](CNS(N)(=O)=O)C3)[C@H](C)[C@H]12,DB06211,Doripenem,148016-81-3,5.478264421,4.863420107,5.996697,4.9341187,5.455212,5.0037127,5.288570821,,,
CN1CCC(C(=O)c2cccc(NC(=O)c3c(F)cc(F)cc3F)n2)CC1,DB11732,Lasmiditan,439239-90-4,5.230697329,4.902424556,5.1599555,5.7902536,5.0471373,5.5995245,5.288332131,,,
CN(C)c1cc(NC(=O)CNC(C)(C)C)c(O)c2c1C[C@H]1C[C@H]3[C@H](N(C)C)C(O)=C(C(N)=O)C(=O)[C@@]3(O)C(O)=C1C2=O,DB00560,Tigecycline,220620-09-7,4.574227951,6.252467609,4.9467144,5.6769447,4.9863424,5.2927666,5.288243943,,,
COc1ccc(C[C@@H](CN[C@@H](CCCN=C(N)N)C(=O)O)NC(=O)[C@@H]2CCCN2C(=O)[C@H](CO)NC(=O)[C@H](Cc2cccs2)NC(=O)CNC(=O)[C@@H]2C[C@@H](O)CN2C(=O)[C@@H]2CCCN2C(=O)[C@@H](N)CCCN=C(N)N)cc1,DB06549,Labradimil,159768-75-9,4.759370414,5.378593211,5.740655,5.486923,5.1184745,5.2441645,5.288030104,,,
CCN1CCCC1CNC(=O)c1cc(S(N)(=O)=O)ccc1OC,DB00391,Sulpiride,15676-16-1,5.186648092,4.889172824,6.2697124,5.110703,5.3722506,4.8996863,5.288028869,,,
C/C=C\C=C\[C@@H]1O[C@](O)([C@H](CC)C(=O)NC/C=C/C=C(\C)[C@@H](OC)[C@@H](C)[C@@H]2O[C@H](/C=C/C=C/C=C(\C)C(=O)c3c(O)ccn(C)c3=O)[C@H](O)[C@@H]2O)[C@H](O)[C@H](O)C1(C)C,DB04124,Aurodox,12704-90-4,4.767641541,5.282032181,5.003835,5.3368154,5.3415556,5.9934,5.28754662,,,
Cc1ccc(-n2cc(CNCC3CCCCC3)c3ccccc32)cc1,DB06833,1-CYCLOHEXYL-N-{[1-(4-METHYLPHENYL)-1H-INDOL-3-YL]METHYL}METHANAMINE,,4.914355635,4.880366724,5.208524,5.3095317,6.5488353,4.8628516,5.287410826,,,
Cc1cnc(C(=O)N[C@H]2CCCCC/C=C\[C@@H]3C[C@@]3(C(=O)NS(=O)(=O)C3CC3)NC(=O)[C@@H]3C[C@@H](Oc4nc5ccccc5c5ccccc45)CN3C2=O)cn1,DB09297,Paritaprevir,1216941-48-8,5.101869761,5.037475707,5.7074833,5.519559,4.930351,5.426115,5.287142295,,,
CC[C@H](NC(=O)c1c(NS(C)(=O)=O)c(-c2ccccc2)nc2ccccc12)c1ccccc1,DB11692,Pavinetant,941690-55-7,4.757134463,5.069354465,5.2192335,5.6882834,6.144281,4.842806,5.286848805,,,
OC(CNc1nc(-c2cc(-c3ccon3)n(Cc3ccccc3F)n2)ncc1F)(C(F)(F)F)C(F)(F)F,DB16300,Praliciguat,1628730-49-3,5.280706155,4.552240774,5.7475495,5.651598,4.911829,5.577009,5.286822071,,,
Cn1c(=O)c(F)c(Nc2ccc(I)cc2F)c2c(=O)n(C[C@@H](O)CO)cnc21,DB12241,TAK-733,1035555-63-5,5.211488779,5.410339079,5.0910354,5.5411153,5.0047755,5.4601088,5.286477143,,,
CC[C@H](C)[C@@H]1NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](CC(=O)O)NC(=O)[C@H](CCSC)NC(=O)[C@H](CCCNC(=N)N)NC(=O)CNC(=O)CNC(=O)[C@H](Cc2ccccc2)NC(=O)[C@@H](NC(=O)[C@H](CO)NC(=O)[C@H](CO)NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CO)NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@@H]2CCCN2C(=O)[C@H](C)NC(=O)[C@@H](N)[C@@H](C)O)CSSC[C@@H](C(=O)N[C@@H](CC(N)=O)C(=O)N[C@@H](CO)C(=O)N[C@@H](Cc2ccccc2)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](Cc2ccc(O)cc2)C(=O)O)NC(=O)CNC(=O)[C@H](CC(C)C)NC(=O)CNC(=O)[C@H](CO)NC(=O)[C@H](CCC(N)=O)NC(=O)[C@H](C)NC(=O)CNC1=O,DB05034,Ularitide,118812-69-4,5.112068197,5.537654929,4.594325,5.949897,5.4908323,5.03345,5.286371238,,,
CC[C@]1(O)C[C@@H]2CN(CCc3c([nH]c4ccccc34)[C@@](C(=O)OC)(c3cc4c(cc3OC)N(C)[C@H]3[C@@](O)(C(=O)OC)[C@H](OC(C)=O)[C@]5(CC)C=CCN6CC[C@]43[C@@H]65)C2)C1,DB00570,Vinblastine,865-21-4,5.537230184,5.591527032,5.3674293,5.185323,5.0931687,4.942252,5.286155036,,,
COc1cc(F)c(C(C)C)cc1-c1ccc(C(F)(F)F)cc1CN1C(=O)O[C@H](c2cc(C(F)(F)F)cc(C(F)(F)F)c2)[C@@H]1C,DB06630,Anacetrapib,875446-37-0,5.040916234,5.165929644,5.337295,5.868012,5.1941185,5.1091084,5.28589663,,,
CCNC(=O)[C@H]1C[C@@](F)(c2ccc(CN3CCCC3)c(F)c2)C1,DB12201,PF-03654746,935840-31-6,5.009580612,4.724821025,5.633833,5.4666348,5.702751,5.177041,5.285776906,,,
COC(=O)N[C@@H](C)CNc1nccc(-c2cn(C(C)C)nc2-c2cc(Cl)cc(NS(C)(=O)=O)c2F)n1,DB11718,Encorafenib,1269440-17-6,4.778640461,5.406992252,5.4168215,5.3018703,5.276431,5.5331364,5.285648652,,,
CC[C@H]1C[C@H](C)[C@@]2(NC1=O)O[C@@H](C[C@H](O)[C@@H](C)CC/C=C/C=C(\C)[C@@H]1C/C=C/C=C/[C@H](O)[C@H](C)[C@@H](O)[C@@H](CCC(C)=O)C(=O)N[C@@H](C(C)C)C(=O)N[C@@H](Cc3cccc(O)c3)C(=O)N3CCC[C@H](N3)C(=O)O1)[C@H](C)[C@H](O)[C@@H]2C,DB03393,Sanglifehrin A,,5.129936834,5.09026428,5.3962193,5.4951277,4.740022,5.86123,5.285466686,,,
CSCC[C@H](NC(=O)[C@H]1CC[C@@H](C)CC1)C(=O)Nc1ccncc1,DB07569,CIS-4-METHYL-N-[(1S)-3-(METHYLSULFANYL)-1-(PYRIDIN-4-YLCARBAMOYL)PROPYL]CYCLOHEXANECARBOXAMIDE,,4.657901962,5.025787928,5.653956,5.3773174,5.9985404,4.9978876,5.285231882,,,
CO[C@H]1C[C@H](O[C@@H]2/C(C)=C\C[C@@H]3C[C@@H](C[C@]4(C=C[C@H](C)[C@@H](C(C)C)O4)O3)OC(=O)[C@@H]3C=C(C)[C@@H](O)[C@H]4OC/C(=C/C=C\[C@@H]2C)[C@@]34O)O[C@@H](C)[C@H]1O[C@H]1C[C@@H](OC)[C@H](NC(C)=O)[C@H](C)O1,DB11405,Eprinomectin,123997-26-2,5.06591574,5.713345186,4.920778,4.6459436,5.526567,5.838271,5.285136754,,,
CN1CCN(CCOc2cc(OC3CCOCC3)c3c(Nc4c(Cl)ccc5c4OCO5)ncnc3c2)CC1,DB11805,Saracatinib,379231-04-6,5.021739891,5.032182184,5.1611567,5.837968,5.159711,5.496753,5.284918463,,,
N[C@@H](COC(=O)[C@@H](N=C([O-])Cc1cccs1)[C@@H]1NC(C(=O)O)=C(/C=C/c2ccc([N+](=O)[O-])cc2[N+](=O)[O-])CS1)C(=O)[O-],DB04041,Nitrocefin Acyl-Serine,,4.972451562,5.568256871,5.0656257,5.4443107,5.242436,5.4127984,5.284313205,,,
N[C@@H](CC(=O)N1CCn2c(nnc2C(F)(F)F)C1)Cc1cc(F)c(F)cc1F,DB01261,Sitagliptin,486460-32-6,5.040452398,5.085897959,5.5990925,5.1561737,4.834754,5.9872885,5.283943176,,,
C[C@H]1CCCC[C@@H]1Oc1cccc(-c2nc3cc(C(=N)N)c(F)cc3[nH]2)c1O,DB03555,CRA_11092,,4.889590338,5.328784155,5.6020384,5.4419327,5.0955524,5.3454285,5.283887749,,,
CC[C@H](C)[C@@H]([C@@H](CC(=O)N1CCC[C@H]1[C@H](OC)[C@@H](C)C(=O)NCCc1ccccc1)OC)N(C)C(=O)[C@@H](NC(=O)[C@H](C(C)C)N(C)C)C(C)C,DB12677,Soblidotin,149606-27-9,4.976226547,4.827907476,5.0024557,5.068468,6.146596,5.6811295,5.283797204,,,
CN(C)[C@@H]1C(O)=C(C(N)=O)C(=O)[C@@]2(O)C(O)=C3C(=O)c4c(O)c(NC(=O)CN5CCCC5)cc(F)c4C[C@H]3C[C@@H]12,DB12329,Eravacycline,1207283-85-9,5.117967098,5.259401223,5.2594666,5.7159343,4.957186,5.3915,5.28357587,,,
CCCCCCC(=O)N[C@@H]1CSSC[C@@H](C(=O)N[C@@H](Cc2ccc(O)cc2)C(=O)N2C[C@H](C(N)=O)NC(=O)[C@@H]2CCCNC(=N)N)NC(=O)[C@H](CO)NC(=O)[C@H]([C@@H](C)CC)NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](CC(=O)O)NC(=O)[C@@H](CCCC)NC(=O)[C@H](CCCNC(=N)N)NC(=O)CNC(=O)[C@@H](C)NC(=O)[C@H](Cc2ccccc2)NC(=O)[C@H](Cc2c[nH]cn2)NC1=O,DB15355,PL-3994,952295-80-6,4.975464838,5.460308275,4.9907413,5.7746444,5.326099,5.1723337,5.283265252,,,
CC(C)N1CCC(NC(=O)c2cc3ccccc3n2CC(=O)Nc2ccc(Cl)cc2)CC1,DB07974,1-{2-[(4-CHLOROPHENYL)AMINO]-2-OXOETHYL}-N-(1-ISOPROPYLPIPERIDIN-4-YL)-1H-INDOLE-2-CARBOXAMIDE,,5.169562904,4.885973013,5.616325,5.6813345,5.3772635,4.9690986,5.283259586,,,
C=CC(=O)N(C)CCOc1c(N)ncnc1-c1cc(F)cc(NC(=O)c2ccc(C3CC3)cc2F)c1C,DB16852,Remibrutinib,1787294-07-8,5.427371629,5.227800456,4.7244525,4.968238,5.799225,5.5508614,5.282991497,,,
C[C@H](O)c1nc(Cn2nc(-c3ccc(Cl)cc3)n(C[C@H](O)C(F)(F)F)c2=O)nn1-c1cccc(Cl)c1,DB16279,Pecavaptan,1914998-56-3,4.957013555,5.011165262,5.86248,5.337985,5.1865573,5.3411636,5.282727453,,,
NC(=O)c1ccc[n+]([C@@H]2O[C@H](COP(=O)([O-])OP(=O)(O)OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](O)[C@@H]3O)[C@@H](O)[C@H]2O)c1,DB14128,Nadide,53-84-9,5.717491078,5.366147866,4.862846,5.01574,5.1299224,5.601362,5.282251557,,,
NC(=O)[C@H](CCCCN=C(N)N)NC(=O)[C@@H](Cc1ccc(O)cc1)NC(=O)[C@@H]1CCN1C(=O)[C@@H](CC1CCCCC1)NC(=O)[C@H]1CC[C@@H](CN=C(N)N)CC1,DB04697,TRANS-4-(GUANIDINOMETHYL)-CYCLOHEXANE-L-YL-D-3-CYCLOHEXYLALANYL-L-AZETIDINE-2-YL-D-TYROSINYL-L-HOMOARGININAMIDE,,4.855075557,5.41292564,5.391268,5.068759,5.768377,5.1923714,5.281462766,,,
Cn1cnc2c(F)c(Nc3ccc(Br)cc3Cl)c(C(=O)NOCCO)cc21,DB11689,Selumetinib,606143-52-6,5.470759777,5.221095564,4.8675323,5.4310784,4.8915596,5.804988,5.28116894,,,
Cc1cc(C[C@@H](NC(=O)N2CCC(c3cc4ccccc4[nH]c3=O)CC2)C(=O)N2CCN(C3CCN(C)CC3)CC2)cc2cn[nH]c12,DB15688,Zavegepant,1337918-83-8,4.345413318,4.831282692,5.467011,5.108823,6.333657,5.599953,5.281023335,,,
CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)C)[C@H]2O)[C@](C)(O)C[C@@H](C)[C@@H]2N[C@@H](COCCOC)O[C@H]([C@H]2C)[C@]1(C)O,DB00954,Dirithromycin,62013-04-1,5.061457628,5.235778912,5.23566,4.8753924,5.4297166,5.8441467,5.280358707,,,
CN(C)C(=O)[C@@H]([C@H]1CC[C@H](c2cccc3ncnn32)CC1)[C@H](N)C(=O)N1CC[C@H](F)C1,DB07135,"(2S,3S)-3-AMINO-4-[(3S)-3-FLUOROPYRROLIDIN-1-YL]-N,N-DIMETHYL-4-OXO-2-(TRANS-4-[1,2,4]TRIAZOLO[1,5-A]PYRIDIN-5-YLCYCLOHEXYL)BUTANAMIDE",,4.847120981,4.95928921,5.3782115,4.9687448,6.247693,5.280757,5.280302748,,,
C[C@H]1[C@H](NC(=O)/C(=N\OC(C)(C)C(=O)O)c2csc([NH3+])n2)C(=O)N1S(=O)(=O)[O-],DB00355,Aztreonam,78110-38-0,5.635044091,5.046529996,4.871164,5.2118616,5.7534246,5.16245,5.280079048,,,
Cc1cc2nc3c(=O)[nH]c(=O)nc-3n(C[C@H](O)[C@H](O)[C@H](O)CO[P@](=O)(O)O[P@@](=O)(O)OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](O)[C@@H]3O)c2cc1N(C)C,DB03482,8-demethyl-8-dimethylamino-flavin-adenine-dinucleotide,,5.515676461,5.340657763,5.236394,5.1931925,5.2125354,5.1819196,5.280062621,,,
Cc1ncccc1NC(=O)c1ccc2c(c1)CC[C@@H]1C[C@@](O)(C(F)(F)F)CC[C@@]21Cc1ccccc1,DB14676,Fagrocorat,1044535-52-5,5.226700338,5.042173422,5.7869396,5.4575562,5.0784616,5.0881248,5.27999266,,,
CC[C@H](C)c1cc(C(=O)N[C@@H]2CNCCC[C@H]2OC(=O)c2ccc(C(=O)c3cc(OC)ccc3O)cc2)ccc1O,DB02155,3-[(3-sec-butyl-4-hydroxybenzoyl)amino]azepan-4-yl 4-(2-hydroxy-5-methoxybenzoyl)benzoate,,5.30487725,5.213536149,5.1137156,5.2190285,5.748185,5.0802884,5.279938483,,,
O=C(Nc1ccc([N+](=O)[O-])cc1Cl)c1cc(Cl)ccc1O,DB06803,Niclosamide,50-65-7,5.985372858,5.261963667,4.9962664,5.320374,5.0779266,5.0372505,5.279859004,,,
CC(C)(C)c1cc(NC(=O)NCc2ccccc2Sc2ccc3nnc(-c4ccccc4SCCO)n3c2)n(-c2ccc(O)c(Cl)c2)n1,DB12138,PF-03715455,1056164-52-3,4.836790009,5.341097324,5.330927,5.496472,4.915016,5.7574835,5.279630972,,,
Cc1ccc(NC(=O)c2ccc(CN3CC[C@H](N(C)C)C3)c(C(F)(F)F)c2)cc1Nc1nccc(-c2cncnc2)n1,DB11851,Bafetinib,859212-16-1,5.11775694,5.159327294,5.4560447,5.611282,4.6417365,5.687769,5.278986072,,,
CN1C[C@H]2CCN(c3ccc(-c4ccc(-n5ncccc5=O)cc4)cc3)[C@H]2C1,DB15192,ABT-288,948845-91-8,4.605617246,4.783335305,5.6395774,5.4530897,6.1416426,5.0486927,5.278659159,,,
CCO[C@@H]1Cc2cc(C(F)(F)F)ccc2[C@H]1N1CCN(C2(C)CCN(C(=O)c3c(C)ncnc3C)CC2)C[C@@H]1C,DB12960,INCB-9471,869769-98-2,4.806200333,4.912899124,5.7619233,5.133208,5.727335,5.3281612,5.278287826,,,
CNCc1cn(S(=O)(=O)c2cccc(F)c2)c(-c2ccc(F)cc2F)c1OC,DB16078,Abeprazan,1902954-60-2,4.570552812,4.803617303,5.633484,5.216095,5.998673,5.4472523,5.278279069,,,
CNc1ncc(-c2ccc3c(=O)c(C(=O)O)cn(C4CC4)c3c2C)cc1C,DB12924,Ozenoxacin,245765-41-7,5.139607342,4.677600268,5.6185303,5.4219246,5.6740823,5.137128,5.278145468,,,
CCCCCCCCOc1ccc(-c2ccc(C(=O)N[C@H]3CC(NCCN)CNC(=O)[C@@H]4[C@@H](O)[C@@H](C)CN4C(=O)[C@H](CO)NC(=O)[C@H]([C@H](O)Cc4ccc(O)cc4)NC(=O)[C@@H]4C[C@@H](O)CN4C(=O)[C@H]([C@@H](C)O)NC3=O)cc2)cc1,DB05128,Aminocandin,227472-48-2,5.181321833,5.215819424,5.3492203,5.314974,5.103428,5.503707,5.278078426,,,
C[C@@H](C(=O)Nc1ccc(Cl)cc1)[C@H]1CC[C@@H](c2ccnc3ccc(F)cc32)CC1,DB14986,Linrodostat,1923833-60-6,4.975396779,5.41717437,5.1252065,5.406515,5.323038,5.4183054,5.277606008,,,
